"No.","Time","Source","Destination","MAC src","Protocol","Length","MAC dst","Info"
"161","0.071324149","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","[TCP Keep-Alive] 60720  >  80 [ACK] Seq=399 Ack=388 Win=64128 Len=0 TSval=2356592166 TSecr=3927819008"
"162","0.071588602","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","[TCP Retransmission] 60720  >  80 [FIN, ACK] Seq=399 Ack=388 Win=64128 Len=0 TSval=2356592166 TSecr=3927819008"
"163","0.090108544","12.12.0.12","10.10.0.1","9e:76:f9:99:36:a3","TCP","66","4e:83:fc:5d:2f:1f","[TCP Retransmission] 80  >  60720 [FIN, ACK] Seq=388 Ack=400 Win=64768 Len=0 TSval=3927819027 TSecr=2356592166"
"164","0.090614116","10.10.0.1","12.12.0.12","4e:83:fc:5d:2f:1f","TCP","66","9e:76:f9:99:36:a3","60720  >  80 [ACK] Seq=400 Ack=389 Win=64128 Len=0 TSval=2356592186 TSecr=3927819027"
"165","0.000931584","0e:6c:d9:5c:66:95","Broadcast","0e:6c:d9:5c:66:95","ARP","60","ff:ff:ff:ff:ff:ff","Who has 190.7.231.30? Tell 190.7.231.40"
"166","0.001129473","fe:d8:49:5e:7b:a3","0e:6c:d9:5c:66:95","fe:d8:49:5e:7b:a3","ARP","60","0e:6c:d9:5c:66:95","190.7.231.30 is at fe:d8:49:5e:7b:a3"
"167","0.001249306","10.10.0.10","8.8.8.8","0e:6c:d9:5c:66:95","DNS","81","fe:d8:49:5e:7b:a3","Standard query 0x76fd A proxy.tpfinal-tyr.com"
"168","0.002368039","8.8.8.8","10.10.0.10","fe:d8:49:5e:7b:a3","DNS","97","0e:6c:d9:5c:66:95","Standard query response 0x76fd A proxy.tpfinal-tyr.com A 10.10.0.1"
"169","0.002761131","10.10.0.10","8.8.8.8","0e:6c:d9:5c:66:95","DNS","81","fe:d8:49:5e:7b:a3","Standard query 0xf7fb AAAA proxy.tpfinal-tyr.com"
"170","0.003438051","8.8.8.8","10.10.0.10","fe:d8:49:5e:7b:a3","DNS","126","0e:6c:d9:5c:66:95","Standard query response 0xf7fb AAAA proxy.tpfinal-tyr.com SOA dns.tpfinal-tyr.com"
"171","0.005219067","10.10.0.1","8.8.8.8","0e:6c:d9:5c:66:95","DNS","83","fe:d8:49:5e:7b:a3","Standard query 0xe717 PTR 10.0.10.10.in-addr.arpa"
"172","0.005509017","10.10.0.1","8.8.8.8","0e:6c:d9:5c:66:95","DNS","79","fe:d8:49:5e:7b:a3","Standard query 0xa7e2 A www.tpfinal-tyr.com"
"173","0.006106810","8.8.8.8","10.10.0.1","fe:d8:49:5e:7b:a3","DNS","133","0e:6c:d9:5c:66:95","Standard query response 0xe717 No such name PTR 10.0.10.10.in-addr.arpa SOA 10.IN-ADDR.ARPA"
"174","0.006410536","8.8.8.8","10.10.0.1","fe:d8:49:5e:7b:a3","DNS","95","0e:6c:d9:5c:66:95","Standard query response 0xa7e2 A www.tpfinal-tyr.com A 12.12.0.11"
